Job Title,Job Category,Company,Salary,Skills Required
Backend Developer,Web Development,Accenture,15 LPA,"Django, SQL, Git, APIs"
Java Developer,Software Engineering,Google,20 LPA,"Data Structures, Spring Boot, OOP Concepts, SQL, Java, JUnit"
Cloud Engineer,Cloud Computing,Google,32 LPA,"Kubernetes, AWS, Cloud Security, Docker, Terraform, Linux"
Digital Marketing Specialist,Digital Marketing,TCS,12 LPA,"SEO, Content Marketing, Google Analytics"
Senior Data Scientist,Data Science,Amazon,25 LPA,"Pandas, Statistics, Machine Learning, Python, TensorFlow, PySpark"
Senior Data Scientist,Data Science,Amazon,30 LPA,"SQL, Pandas, Data Analysis, TensorFlow, Machine Learning"
Cloud Engineer,Cloud Computing,Meta,28 LPA,"Terraform, Linux, Kubernetes, Docker, Cloud Security, AWS"
Senior Data Scientist,Data Science,Google,20 LPA,"Machine Learning, TensorFlow, Statistics, Python, Data Analysis, SQL"
Data Analyst,Data Science,IBM,25 LPA,"Python, Statistics, Excel, Tableau, SQL, PySpark"
Frontend Developer,Web Development,TCS,12 LPA,"React, CSS, JavaScript, Responsive Design"
Database Administrator,Database Management,Cisco,15 LPA,"Performance Tuning, Oracle, SQL, Backup and Recovery"
Backend Developer,Web Development,Accenture,18 LPA,"APIs, Django, SQL, Flask, Python"
Security Analyst,Cybersecurity,Meta,22 LPA,"Ethical Hacking, Firewall Management, Network Security, Incident Response"
Database Administrator,Database Management,Cisco,18 LPA,"Oracle, Database Design, Backup and Recovery, Performance Tuning"
Frontend Developer,Web Development,Amazon,12 LPA,"JavaScript, Responsive Design, CSS, React"
Business Analyst,Business Analysis,Capgemini,14 LPA,"Power BI, SQL, Excel, Business Analysis"
Cloud Engineer,Cloud Computing,Infosys,32 LPA,"Cloud Security, Terraform, Kubernetes, Linux, Docker, AWS"
Business Analyst,Business Analysis,Capgemini,10 LPA,"Power BI, Excel, SQL, Tableau, Business Analysis"
DevOps Engineer,DevOps,Cisco,24 LPA,"Kubernetes, Jenkins, AWS, CI/CD, Ansible"
Data Analyst,Data Science,Google,20 LPA,"Tableau, Statistics, SQL, Data Visualization, Excel, Python"
DevOps Engineer,DevOps,IBM,28 LPA,"Docker, CI/CD, Kubernetes, AWS, Linux, Ansible"
Frontend Developer,Web Development,Infosys,15 LPA,"HTML, React, Responsive Design, Git"
Business Analyst,Business Analysis,Capgemini,16 LPA,"Requirement Gathering, Tableau, Business Analysis, Power BI, SQL"
Backend Developer,Web Development,Capgemini,18 LPA,"SQL, Django, Git, Flask, APIs"
Backend Developer,Web Development,Cisco,12 LPA,"Git, Django, SQL, APIs, Flask"
Cloud Engineer,Cloud Computing,Accenture,32 LPA,"Terraform, Docker, AWS, Linux, Cloud Security, GCP"
Data Analyst,Data Science,Microsoft,20 LPA,"Statistics, Tableau, Data Visualization, SQL"
Backend Developer,Web Development,Google,12 LPA,"Django, APIs, Python, Git"
Java Developer,Software Engineering,Meta,20 LPA,"SQL, Maven, Spring Boot, OOP Concepts, Hibernate"
Backend Developer,Web Development,TCS,18 LPA,"APIs, SQL, Python, Flask, Git, Django"
Cloud Engineer,Cloud Computing,Amazon,28 LPA,"AWS, Cloud Security, Terraform, Kubernetes"
Security Analyst,Cybersecurity,Cisco,26 LPA,"Python, Network Security, Ethical Hacking"
Business Analyst,Business Analysis,Cisco,16 LPA,"Requirement Gathering, SQL, Excel, Power BI, Agile Methodology"
Data Analyst,Data Science,Infosys,25 LPA,"SQL, Statistics, Data Visualization, Python"
AI Engineer,Artificial Intelligence,IBM,35 LPA,"Deep Learning, NLP, TensorFlow, PyTorch"
Frontend Developer,Web Development,Accenture,18 LPA,"JavaScript, HTML, React, CSS, Responsive Design"
Database Administrator,Database Management,Google,18 LPA,"Database Design, Performance Tuning, SQL, Backup and Recovery, Oracle"
AI Engineer,Artificial Intelligence,Deloitte,25 LPA,"NLP, TensorFlow, Python"
Security Analyst,Cybersecurity,Accenture,26 LPA,"Python, Incident Response, Firewall Management, Ethical Hacking, Network Security, SIEM"
Security Analyst,Cybersecurity,Capgemini,30 LPA,"Network Security, Ethical Hacking, Incident Response"
Digital Marketing Specialist,Digital Marketing,Meta,12 LPA,"Google Analytics, Content Marketing, Email Marketing, SEM, Social Media Marketing"
Digital Marketing Specialist,Digital Marketing,Infosys,12 LPA,"Content Marketing, Google Analytics, SEM, Email Marketing, SEO"
Database Administrator,Database Management,Google,18 LPA,"Database Design, Oracle, Backup and Recovery, PostgreSQL"
Security Analyst,Cybersecurity,Accenture,26 LPA,"Python, Ethical Hacking, Network Security, Firewall Management"
Frontend Developer,Web Development,Accenture,12 LPA,"Git, Responsive Design, HTML, JavaScript, React, CSS"
Cloud Engineer,Cloud Computing,Meta,25 LPA,"Cloud Security, Terraform, AWS, Kubernetes, GCP"
Database Administrator,Database Management,Infosys,15 LPA,"Performance Tuning, SQL, Backup and Recovery, Oracle"
Senior Data Scientist,Data Science,IBM,25 LPA,"Pandas, Statistics, Python, Machine Learning, Data Analysis, SQL, TensorFlow, PySpark"
Security Analyst,Cybersecurity,TCS,22 LPA,"Network Security, Incident Response, Firewall Management, Ethical Hacking, SIEM"
Data Analyst,Data Science,Capgemini,25 LPA,"Excel, SQL, Tableau, Statistics, Python"
Java Developer,Software Engineering,Accenture,14 LPA,"OOP Concepts, Java, Maven, Data Structures, JUnit"
Security Analyst,Cybersecurity,Meta,30 LPA,"Python, Incident Response, Firewall Management"
Java Developer,Software Engineering,Infosys,20 LPA,"SQL, OOP Concepts, Java, Spring Boot, JUnit"
Data Analyst,Data Science,Microsoft,25 LPA,"Data Visualization, Tableau, Python, Excel"
Business Analyst,Business Analysis,Meta,16 LPA,"Excel, Business Analysis, SQL, Requirement Gathering"
Security Analyst,Cybersecurity,Infosys,30 LPA,"Firewall Management, Incident Response, Python, Network Security, Ethical Hacking"
Java Developer,Software Engineering,Meta,14 LPA,"Java, Maven, Data Structures, OOP Concepts"
Security Analyst,Cybersecurity,Google,26 LPA,"Ethical Hacking, Incident Response, Firewall Management, Network Security, Python, Cryptography"
AI Engineer,Artificial Intelligence,Cisco,25 LPA,"TensorFlow, Deep Learning, Computer Vision, Python"
Database Administrator,Database Management,Capgemini,18 LPA,"Database Design, Oracle, Performance Tuning, Backup and Recovery, SQL"
Database Administrator,Database Management,Deloitte,15 LPA,"Performance Tuning, Database Design, Oracle, SQL, Backup and Recovery"
Senior Data Scientist,Data Science,Accenture,30 LPA,"Statistics, Pandas, Data Analysis, Machine Learning, TensorFlow, Hadoop"
Java Developer,Software Engineering,Deloitte,18 LPA,"SQL, Java, Spring Boot, Data Structures, Maven, OOP Concepts"
Cloud Engineer,Cloud Computing,Capgemini,25 LPA,"Kubernetes, Cloud Security, Terraform, Docker, AWS, Linux"
Security Analyst,Cybersecurity,Meta,26 LPA,"Ethical Hacking, Python, Incident Response, Network Security"
DevOps Engineer,DevOps,Meta,28 LPA,"Kubernetes, AWS, Jenkins, Linux"
Java Developer,Software Engineering,Capgemini,14 LPA,"SQL, Spring Boot, Java, OOP Concepts"
Backend Developer,Web Development,Accenture,18 LPA,"SQL, Git, Python, Django, Flask, APIs"
Senior Data Scientist,Data Science,Deloitte,25 LPA,"SQL, Machine Learning, Pandas, Statistics, TensorFlow, Python, Data Analysis, PySpark"
Security Analyst,Cybersecurity,Capgemini,30 LPA,"Firewall Management, Python, Incident Response, Cryptography"
Database Administrator,Database Management,Microsoft,18 LPA,"Performance Tuning, Oracle, SQL, Database Design, Backup and Recovery"
Business Analyst,Business Analysis,Accenture,10 LPA,"Excel, SQL, Business Analysis, Requirement Gathering"
Cloud Engineer,Cloud Computing,IBM,25 LPA,"Docker, Linux, Kubernetes, Cloud Security, AWS"
Database Administrator,Database Management,Microsoft,20 LPA,"Backup and Recovery, Oracle, SQL, Database Design"
Business Analyst,Business Analysis,TCS,10 LPA,"Business Analysis, Excel, SQL, Tableau"
Security Analyst,Cybersecurity,IBM,26 LPA,"Incident Response, Firewall Management, Python, Ethical Hacking"
Java Developer,Software Engineering,Deloitte,18 LPA,"OOP Concepts, Spring Boot, Data Structures, Java, Maven, SQL"
Backend Developer,Web Development,Amazon,15 LPA,"Flask, Git, APIs, Python, Django, SQL"
AI Engineer,Artificial Intelligence,Meta,35 LPA,"Computer Vision, TensorFlow, NLP, PyTorch"
Digital Marketing Specialist,Digital Marketing,TCS,12 LPA,"SEO, Email Marketing, Content Marketing"
Cloud Engineer,Cloud Computing,Deloitte,32 LPA,"Docker, Terraform, AWS, Linux, Kubernetes"
Java Developer,Software Engineering,IBM,14 LPA,"Spring Boot, OOP Concepts, Maven, Java, SQL, Data Structures"
Cloud Engineer,Cloud Computing,Deloitte,25 LPA,"Cloud Security, Terraform, Kubernetes, Linux"
Cloud Engineer,Cloud Computing,Cisco,25 LPA,"Terraform, AWS, Cloud Security, Linux, Docker, Kubernetes, Azure"
Frontend Developer,Web Development,Amazon,12 LPA,"Git, CSS, React, HTML"
Java Developer,Software Engineering,Deloitte,18 LPA,"Data Structures, SQL, Java, Spring Boot, Maven"
Frontend Developer,Web Development,Meta,15 LPA,"HTML, CSS, Responsive Design, JavaScript, Next.js"
AI Engineer,Artificial Intelligence,Google,35 LPA,"Deep Learning, Python, NLP, Computer Vision"
Digital Marketing Specialist,Digital Marketing,Accenture,8 LPA,"SEO, Email Marketing, Google Analytics, Content Marketing"
AI Engineer,Artificial Intelligence,Deloitte,35 LPA,"TensorFlow, Python, NLP, Deep Learning"
Security Analyst,Cybersecurity,Capgemini,30 LPA,"Network Security, Incident Response, Python, Ethical Hacking, Cryptography"
Security Analyst,Cybersecurity,Capgemini,30 LPA,"Incident Response, Python, Firewall Management, Network Security"
Security Analyst,Cybersecurity,Deloitte,26 LPA,"Python, Ethical Hacking, Network Security, Firewall Management"
Database Administrator,Database Management,Cisco,15 LPA,"SQL, Database Design, Performance Tuning, Backup and Recovery, Oracle"
Data Analyst,Data Science,Infosys,20 LPA,"SQL, Tableau, Excel, Data Visualization, Statistics, Python"
Data Analyst,Data Science,Amazon,30 LPA,"Python, Tableau, SQL, Statistics, Excel"
Senior Data Scientist,Data Science,Meta,25 LPA,"Data Analysis, TensorFlow, Python, Machine Learning, Pandas, SQL, Statistics"
Frontend Developer,Web Development,Meta,15 LPA,"React, JavaScript, HTML, Git, CSS, Responsive Design"
Database Administrator,Database Management,Amazon,18 LPA,"Performance Tuning, SQL, Oracle, PostgreSQL"
Cloud Engineer,Cloud Computing,Deloitte,32 LPA,"AWS, Terraform, Cloud Security, Docker, Linux, Kubernetes, Azure"
Java Developer,Software Engineering,Cisco,14 LPA,"Maven, Java, OOP Concepts, Spring Boot, Data Structures"
Digital Marketing Specialist,Digital Marketing,TCS,8 LPA,"SEO, SEM, Content Marketing, Email Marketing, Google Analytics, Social Media Marketing"
Java Developer,Software Engineering,Deloitte,20 LPA,"OOP Concepts, SQL, Data Structures, Maven, Spring Boot, Java"
AI Engineer,Artificial Intelligence,IBM,30 LPA,"Computer Vision, Deep Learning, NLP, TensorFlow, Python, PyTorch"
Frontend Developer,Web Development,Amazon,12 LPA,"Git, Responsive Design, JavaScript, CSS, React, HTML, Bootstrap"
AI Engineer,Artificial Intelligence,TCS,25 LPA,"NLP, Deep Learning, TensorFlow"
DevOps Engineer,DevOps,IBM,24 LPA,"Jenkins, AWS, Docker, Linux"
Security Analyst,Cybersecurity,Amazon,26 LPA,"Incident Response, Network Security, Firewall Management, Ethical Hacking, Python"
Business Analyst,Business Analysis,Microsoft,10 LPA,"Tableau, Requirement Gathering, SQL, Business Analysis"
Cloud Engineer,Cloud Computing,Capgemini,32 LPA,"Cloud Security, Linux, AWS, Docker, Kubernetes, Terraform"
Database Administrator,Database Management,Accenture,18 LPA,"Database Design, Oracle, SQL, Backup and Recovery"
Security Analyst,Cybersecurity,Cisco,22 LPA,"Python, Network Security, Ethical Hacking, Incident Response"
Database Administrator,Database Management,Deloitte,18 LPA,"Backup and Recovery, Performance Tuning, Database Design, SQL"
Cloud Engineer,Cloud Computing,Cisco,25 LPA,"Terraform, Linux, Cloud Security, Docker, Kubernetes, GCP"
Backend Developer,Web Development,Infosys,18 LPA,"SQL, Flask, Python, APIs, Git, Django, Next.js"
Business Analyst,Business Analysis,Capgemini,10 LPA,"Business Analysis, Requirement Gathering, Excel, SQL, Power BI, Agile Methodology"
DevOps Engineer,DevOps,Cisco,28 LPA,"Kubernetes, Jenkins, Linux, AWS, CI/CD"
Business Analyst,Business Analysis,Capgemini,10 LPA,"Requirement Gathering, Business Analysis, Excel, Power BI, SQL, Tableau"
Business Analyst,Business Analysis,Accenture,16 LPA,"SQL, Excel, Tableau, Requirement Gathering, Agile Methodology"
Digital Marketing Specialist,Digital Marketing,Microsoft,10 LPA,"Google Analytics, SEM, Content Marketing, Social Media Marketing"
Business Analyst,Business Analysis,Meta,14 LPA,"Business Analysis, Tableau, Requirement Gathering, Power BI"
Cloud Engineer,Cloud Computing,Google,25 LPA,"Kubernetes, AWS, Terraform, Linux, Docker"
Cloud Engineer,Cloud Computing,Accenture,32 LPA,"Cloud Security, Docker, Kubernetes, AWS, Terraform, Linux"
Backend Developer,Web Development,Accenture,12 LPA,"Django, Git, APIs, SQL, Flask, Next.js"
Frontend Developer,Web Development,Accenture,18 LPA,"React, Git, CSS, Responsive Design, Next.js"
Senior Data Scientist,Data Science,Cisco,20 LPA,"Statistics, Python, Machine Learning, TensorFlow, SQL, Pandas"
Security Analyst,Cybersecurity,Microsoft,30 LPA,"Python, Incident Response, Firewall Management"
Cloud Engineer,Cloud Computing,Cisco,32 LPA,"Docker, Linux, Kubernetes, Terraform"
Database Administrator,Database Management,Microsoft,18 LPA,"Backup and Recovery, SQL, Database Design, Oracle, PostgreSQL"
Data Analyst,Data Science,TCS,30 LPA,"SQL, Excel, Tableau, Statistics, Data Visualization"
Cloud Engineer,Cloud Computing,Deloitte,25 LPA,"Terraform, Cloud Security, AWS, Kubernetes, Linux, Docker"
AI Engineer,Artificial Intelligence,TCS,30 LPA,"Python, TensorFlow, Computer Vision"
Business Analyst,Business Analysis,Meta,10 LPA,"Business Analysis, Requirement Gathering, Power BI, Tableau, Agile Methodology"
Security Analyst,Cybersecurity,Google,30 LPA,"Network Security, Firewall Management, Incident Response, Ethical Hacking, Python"
AI Engineer,Artificial Intelligence,Meta,25 LPA,"Deep Learning, Computer Vision, Python, PyTorch"
Database Administrator,Database Management,Capgemini,18 LPA,"Oracle, Database Design, Backup and Recovery, SQL, PostgreSQL"
Digital Marketing Specialist,Digital Marketing,Meta,12 LPA,"Content Marketing, SEM, Google Analytics"
Backend Developer,Web Development,Google,18 LPA,"Python, APIs, Django, SQL, Flask, Git, Bootstrap"
AI Engineer,Artificial Intelligence,TCS,25 LPA,"TensorFlow, Python, NLP, Computer Vision"
AI Engineer,Artificial Intelligence,Accenture,35 LPA,"TensorFlow, NLP, Computer Vision"
Digital Marketing Specialist,Digital Marketing,Deloitte,10 LPA,"Email Marketing, Google Analytics, Content Marketing, SEO, Social Media Marketing"
Security Analyst,Cybersecurity,Google,26 LPA,"Firewall Management, Incident Response, Ethical Hacking"
DevOps Engineer,DevOps,Deloitte,24 LPA,"Linux, CI/CD, Docker, Kubernetes, AWS, Jenkins, Ansible"
AI Engineer,Artificial Intelligence,Microsoft,25 LPA,"Computer Vision, Python, NLP, TensorFlow, Deep Learning"
Senior Data Scientist,Data Science,Google,20 LPA,"Statistics, Pandas, Data Analysis, TensorFlow, SQL, Machine Learning"
Digital Marketing Specialist,Digital Marketing,TCS,12 LPA,"Email Marketing, Google Analytics, Content Marketing, SEM, SEO"
Business Analyst,Business Analysis,Amazon,14 LPA,"Business Analysis, Tableau, SQL, Excel"
Java Developer,Software Engineering,Microsoft,14 LPA,"Maven, Spring Boot, SQL, Java, Data Structures"
AI Engineer,Artificial Intelligence,Deloitte,30 LPA,"Deep Learning, TensorFlow, Python"
Business Analyst,Business Analysis,Deloitte,10 LPA,"Power BI, Requirement Gathering, Business Analysis, SQL, Tableau, Excel, Agile Methodology"
Digital Marketing Specialist,Digital Marketing,Meta,10 LPA,"SEM, SEO, Google Analytics, Email Marketing, Content Marketing, Social Media Marketing"
Frontend Developer,Web Development,Amazon,15 LPA,"HTML, React, Responsive Design, JavaScript, Next.js"
Frontend Developer,Web Development,Capgemini,18 LPA,"HTML, JavaScript, Git, React"
Security Analyst,Cybersecurity,Microsoft,22 LPA,"Python, Network Security, Ethical Hacking, SIEM"
Business Analyst,Business Analysis,Cisco,10 LPA,"Excel, SQL, Requirement Gathering, Tableau"
Data Analyst,Data Science,Infosys,20 LPA,"Excel, Data Visualization, Statistics, SQL, Tableau, PySpark"
Backend Developer,Web Development,Deloitte,12 LPA,"SQL, Git, Django, Python, APIs, Flask"
DevOps Engineer,DevOps,IBM,32 LPA,"AWS, Jenkins, Docker, CI/CD, Kubernetes"
Senior Data Scientist,Data Science,TCS,20 LPA,"SQL, TensorFlow, Machine Learning, Data Analysis, Pandas, PySpark"
Business Analyst,Business Analysis,Cisco,14 LPA,"Requirement Gathering, Power BI, Tableau, SQL, Business Analysis, Excel"
Frontend Developer,Web Development,Cisco,18 LPA,"Responsive Design, JavaScript, Git, CSS, Bootstrap"
Backend Developer,Web Development,Cisco,12 LPA,"Python, APIs, Flask, Django, SQL, Next.js"
Java Developer,Software Engineering,IBM,18 LPA,"OOP Concepts, SQL, Spring Boot, Data Structures, Java"
AI Engineer,Artificial Intelligence,Microsoft,30 LPA,"Deep Learning, TensorFlow, NLP, Computer Vision, Python"
Cloud Engineer,Cloud Computing,Microsoft,25 LPA,"AWS, Kubernetes, Terraform, Docker"
Cloud Engineer,Cloud Computing,IBM,32 LPA,"Cloud Security, Terraform, Docker, Linux, Kubernetes, AWS"
Senior Data Scientist,Data Science,TCS,20 LPA,"SQL, Pandas, Statistics, Data Analysis, Machine Learning, Python, PySpark"
Business Analyst,Business Analysis,IBM,16 LPA,"Excel, Requirement Gathering, SQL, Tableau, Power BI"
Backend Developer,Web Development,Deloitte,12 LPA,"APIs, SQL, Git, Django, Python, Flask"
Senior Data Scientist,Data Science,IBM,30 LPA,"Python, TensorFlow, Data Analysis, SQL, Pandas, Machine Learning"
Java Developer,Software Engineering,Cisco,14 LPA,"Spring Boot, Data Structures, Java, OOP Concepts, SQL, Hibernate"
Business Analyst,Business Analysis,TCS,16 LPA,"SQL, Tableau, Business Analysis, Power BI, Excel, Requirement Gathering"
Java Developer,Software Engineering,Deloitte,14 LPA,"OOP Concepts, Spring Boot, Maven, SQL, Java"
Data Analyst,Data Science,Accenture,30 LPA,"Tableau, SQL, Excel, Data Visualization, Statistics, Python"
Data Analyst,Data Science,Google,20 LPA,"SQL, Excel, Python, Statistics, PySpark"
Business Analyst,Business Analysis,Meta,16 LPA,"Tableau, Requirement Gathering, Excel, Power BI, Agile Methodology"
DevOps Engineer,DevOps,Meta,28 LPA,"CI/CD, Jenkins, Linux, Docker, AWS, Kubernetes, Ansible"
AI Engineer,Artificial Intelligence,Deloitte,30 LPA,"NLP, TensorFlow, Computer Vision, Python, PyTorch"
Digital Marketing Specialist,Digital Marketing,Amazon,12 LPA,"Email Marketing, Google Analytics, SEO, Content Marketing, SEM, Social Media Marketing"
Security Analyst,Cybersecurity,Microsoft,26 LPA,"Network Security, Incident Response, Ethical Hacking, Python, Firewall Management"
Cloud Engineer,Cloud Computing,Microsoft,32 LPA,"Docker, AWS, Cloud Security, Terraform, Kubernetes"
Java Developer,Software Engineering,Amazon,18 LPA,"Spring Boot, Data Structures, Java, Maven"
Cloud Engineer,Cloud Computing,Microsoft,25 LPA,"Docker, Terraform, Cloud Security, Linux"
Database Administrator,Database Management,Amazon,20 LPA,"Backup and Recovery, Performance Tuning, Database Design, Oracle"
Java Developer,Software Engineering,TCS,20 LPA,"SQL, OOP Concepts, Java, Spring Boot"
Frontend Developer,Web Development,Capgemini,18 LPA,"CSS, JavaScript, React, HTML, Git, Next.js"
Senior Data Scientist,Data Science,IBM,30 LPA,"Python, Machine Learning, TensorFlow, Statistics, SQL, Pandas"
Security Analyst,Cybersecurity,Meta,22 LPA,"Incident Response, Network Security, Python, Firewall Management, Ethical Hacking"
Frontend Developer,Web Development,Deloitte,18 LPA,"Responsive Design, HTML, JavaScript, CSS"
Frontend Developer,Web Development,Deloitte,15 LPA,"CSS, React, HTML, JavaScript"
Business Analyst,Business Analysis,Accenture,10 LPA,"Requirement Gathering, Business Analysis, SQL, Excel, Agile Methodology"
Frontend Developer,Web Development,Meta,18 LPA,"CSS, HTML, React, Git"
Backend Developer,Web Development,Accenture,18 LPA,"Python, Flask, Git, Django, SQL, APIs"
Senior Data Scientist,Data Science,Infosys,25 LPA,"Data Analysis, Pandas, TensorFlow, Machine Learning, SQL, Python"
Security Analyst,Cybersecurity,Meta,30 LPA,"Firewall Management, Python, Network Security, Ethical Hacking, Incident Response, Cryptography"
Business Analyst,Business Analysis,Infosys,10 LPA,"Excel, Business Analysis, Tableau, Power BI, Requirement Gathering"
Security Analyst,Cybersecurity,IBM,30 LPA,"Incident Response, Network Security, Ethical Hacking, Python"
Senior Data Scientist,Data Science,IBM,25 LPA,"Machine Learning, Pandas, Python, Statistics, TensorFlow, SQL, Data Analysis"
Senior Data Scientist,Data Science,Microsoft,25 LPA,"Pandas, Data Analysis, SQL, Machine Learning, TensorFlow, Python, Statistics, PySpark"
Java Developer,Software Engineering,Deloitte,20 LPA,"Java, Spring Boot, SQL, Maven, OOP Concepts, Data Structures"
Database Administrator,Database Management,IBM,20 LPA,"Database Design, SQL, Backup and Recovery, Performance Tuning"
Database Administrator,Database Management,Deloitte,15 LPA,"Oracle, Performance Tuning, SQL, Database Design"
Security Analyst,Cybersecurity,Meta,22 LPA,"Firewall Management, Ethical Hacking, Python, Incident Response, Network Security"
Data Analyst,Data Science,Infosys,30 LPA,"Excel, Tableau, Data Visualization, Python, SQL, Hadoop"
Business Analyst,Business Analysis,Amazon,16 LPA,"Excel, SQL, Requirement Gathering, Business Analysis"
Database Administrator,Database Management,Accenture,18 LPA,"SQL, Performance Tuning, Database Design, Backup and Recovery, Oracle"
Business Analyst,Business Analysis,Cisco,16 LPA,"Business Analysis, SQL, Power BI, Tableau, Excel, Agile Methodology"
Database Administrator,Database Management,TCS,15 LPA,"Oracle, Backup and Recovery, Performance Tuning, Database Design, SQL, PostgreSQL"
Backend Developer,Web Development,Meta,12 LPA,"Flask, APIs, SQL, Git, Django"
Backend Developer,Web Development,Deloitte,12 LPA,"Git, Flask, APIs, SQL, Python, Django"
AI Engineer,Artificial Intelligence,Amazon,25 LPA,"NLP, Computer Vision, Python, Deep Learning, TensorFlow"
DevOps Engineer,DevOps,Google,24 LPA,"CI/CD, Kubernetes, Docker, AWS"
DevOps Engineer,DevOps,Meta,28 LPA,"Docker, Kubernetes, AWS, Jenkins, CI/CD"
Digital Marketing Specialist,Digital Marketing,Cisco,10 LPA,"SEO, Email Marketing, Content Marketing, Social Media Marketing"
Business Analyst,Business Analysis,Cisco,10 LPA,"SQL, Power BI, Business Analysis, Excel"
Backend Developer,Web Development,Deloitte,15 LPA,"Python, Flask, Django, SQL"
